Type,Equation,Units,Manufacturer,Description
fluo25,linear,RFUB,Turner Designs,Cyanobacteria (C3)
fluo26,linear,RFUB,Turner Designs,Optical brighteners (C3)
fluo27,linear,RFUB,Turner Designs,Fluorescein dye (C3)
fluo28,linear,RFUB,Turner Designs,Rhodamine dye (C3)
fluo29,linear,RFUB,Turner Designs,Refined fuels (C3)
fluo30,linear,RFUB,Turner Designs,BTEX (C3)
fluo31,linear,RFUB,Turner Designs,Phycocyanin (C3)
fluo32,linear,RFUB,Turner Designs,Phycoerythrin (C3)
fluo33,linear,counts,WET Labs,Chlorophyll a (ECO Puck)
fluo34,linear,counts,WET Labs,CDOM (ECO Puck)
fluo35,linear,counts,WET Labs,Phycoerythrin (ECO Puck)
fluo36,linear,counts,WET Labs,Rhodamine (ECO Puck)
fluo37,linear,counts,Turner Designs,"Fluorescence, minimum (Fo)"
fluo38,linear,counts,Turner Designs,"Fluorescence, maximum (Fm)"
fluo39,linear,counts,Turner Designs,"Fluorescence, variable (Fv)"
fluo40,linear,percent,Turner Designs,"Fluorescence, yield"
fluo41,linear,μg/L,Seapoint,Fluorometry-Fluorescein
fluo42,linear,counts,WET Labs,Chlorophyll a (ECO FLNTU)
hdng00,linear,degrees,RBR,Euler angle - heading
irr_00,optic2,μW/cm²/nm,Satlantic,Irradiance
irr_01,corr_irr,V,RBR,"Irradiance, 490nm"
irr_02,corr_irr,μW/cm²/nm,RBR,"Irradiance, 475nm"
mag_00,linear,μT,RBR,Magnetic field strength (in micro-Tesla's)
meth00,corr_metsmet,μmol/L,Franatech,METS methane concentration
opt_07,linear,°,RBR,Calibrated phase output from RBRcoda ODO
opt_14,linear,°,RBR,Calibrated phase output from RBRcoda ODO|slow
orp_01,linear,V,Idronaut,ORP (Oxidation/Reduction Potential)
par_00,linear,μmol/m²/s,Licor,PAR (photosynthetically active radiation)
par_01,linear,μmol/m²/s,Biospherical,PAR (photosynthetically active radiation)
par_03,optic2,μmol/m²/s,Satlantic,PAR (photosynthetically active radiation)
pco200,linear,ppm,Turner Designs,C-sense CO2 partial pressure
peri00,linear double,ps,RBR,Frequency counter[2]
peri01,linear double,ps,RBR,Frequency counter[2]
peri02,linear double,ps,RBR,Frequency counter[2]
peri03,linear double,ps,RBR,Frequency counter[2]
ph__00,linear,pH_units,AMT,pH
ph__01,linear,pH_units,Idronaut,pH
ph__02,corr_ph,pH_units,Idronaut,Corrected pH
ph__03,linear,V,MBARI,pH - scaled as voltage
phas00,linear,degrees,Aanderaa,Calibrated phase output from serial AADI Optode
pres03,linear,dbar,RBR,"Pressure (absolute, not compensated)"
pres08,deri_seapres,dbar,-,Derived hydrostatic (sea) pressure
pres16,linear,dbar,RBR,"Pressure (absolute, temperature compensated)"
pres20,linear,dbar,RBR,"Pressure (absolute, temperature compensated)"
pres21,linear,dbar,RBR,"Pressure (absolute, temperature compensated)"
pres23,linear,dbar,RBR,"Pressure (absolute, temperature compensated), serial RBRsolo D|rt, RBRduet T.D|rt"
pres24,corr_pres2,dbar,RBR,"Pressure (absolute, temperature compensated)"
pres25,linear,dbar,RBR,"Pressure (absolute, temperature compensated)"
pres26,linear,dbar,RBR,"Pressure (absolute, temperature compensated)"
pres28,corr_pres5,dbar,RBR,"Pressure (absolute, temperature compensated)"
ptch00,linear,degrees,RBR,Euler angle - pitch
roll00,linear,degrees,RBR,Euler angle - roll
sal_00,deri_salinity,PSU,-,"Derived salinity, PSS78."
scon00,deri_speccond,μS/cm,-,Derived specific conductivity
sos_00,deri_sos,m/s,-,"Derived speed of sound, UNESCO, Chen and Millero"
temp01,corr_rinkotemp,°C,JFE Advantech,"Temperature, Rinko-III"
temp04,temp,°C,RBR,Temperature (T-string)
temp05,linear,°C,RBR,"Temperature, onboard"
temp06,corr_metstemp,°C,Franatech,"Temperature, METS"
temp07,linear,°C,Aanderaa,"Temperature, from serial Optode"
temp08,linear,°C,RBR,Temperature
temp09,temp,°C,RBR,Temperature
temp12,linear,°C,RBR,"Temperature, serial RBRsolo D|rt, RBRduet T.D|rt"
temp13,linear,°C,RBR,"Temperature, serial RBRsolo D|rt, RBRduet T.D|rt"
temp14,temp,°C,RBR,"Temperature, combined C.T cell"
temp16,linear,°C,RBR,"Temperature, serial RBRcoda ODO"
temp17,linear,°C,RBR,"Temperature, serial RBRcoda ODO|slow"
temp18,temp,°C,RBR,Temperature
temp19,temp,°C,RBR,Temperature (fast)
temp22,temp,°C,RBR,"Temperature, compensating channel for conductivity"
temp23,linear,°C,Campbell,"Temperature, OBS-501"
temp26,temp,°C,RBR,Temperature RBRlegato (1s)
temp27,temp,°C,RBR,Temperature RBRlegato (fast response)
temp30,temp,°C,RBR,"Temperature, compensating channel for irradiance (RBR 490nm Radiometer)"
temp32,temp,°C,RBR,"Temperature,  standard, 6000dbar Combined C.T cell "
temp33,temp,°C,RBR,"Temperature,  fast, 6000dbar Combined C.T cell "
temp34,temp,°C,RBR,"Temperature, compensating channel for Marine C and CT 6000m"
temp35,temp,°C,RBR,Temperature (fast)
temp36,temp,°C,RBR,Temperature (slow)
tran00,linear,trans_units,generic,Transmittance[1]
tran01,linear,%,WET Labs,Transmittance
tran02,linear,V,WET Labs,Transmittance
turb00,linear,NTU,Seapoint,Turbidity
turb01,linear,NTU,Turner Designs,Turbidity
turb02,linear,NTU,Campbell,"Turbidity, OBS3+"
turb03,linear,NTU,Turner Designs,"Turbidity, C3 serial"
turb04,linear,counts,WET Labs,"Backscatter, ECO Puck"
turb06,cubic,FTU,Seapoint,"Turbidity, STM-S S-channel"
turb07,cubic,NTU,Seapoint,"Turbidity, STM-S R-channel"
turb08,linear,NTU,Campbell,"Turbidity, OBS-501 optical backscatter"
turb09,linear,NTU,Campbell,"Turbidity, OBS-501 suspended solids"
turb10,linear,counts,WET Labs,Turbidity (ECO FLNTU)
turb11,linear,V,Sequoia Scientific,"Turbidity, LISST ABS acoustic backscatter"
volt00,linear,V,generic,Voltage (0V to +5V)
volt01,linear,V,generic,Voltage (–2.5V to +2.5V)
volt02,linear,V,generic,Voltage (0V to +10V)
volt03,linear,V,generic,Voltage (–10V to+10V)
